Iteracion,numAdders,numRemovers,Time (ms)
0,10000,1,9,1480.219128
0,10000,2,8,1597.385416
0,10000,3,7,1244.989232
0,10000,4,6,1930.710633
0,10000,5,5,1626.317202
0,10000,6,4,1675.042087
0,10000,7,3,1821.378701
0,10000,8,2,1831.75258
0,10000,9,1,1803.492407
1,10000,1,9,321.974445
1,10000,2,8,1549.138599
1,10000,3,7,1786.004083
1,10000,4,6,1349.683906
1,10000,5,5,1585.174661
1,10000,6,4,1474.983938
1,10000,7,3,1697.356031
1,10000,8,2,2014.445605
1,10000,9,1,1776.371047
2,10000,1,9,1402.439294
2,10000,2,8,1090.45014
2,10000,3,7,1111.318314
2,10000,4,6,1448.841134
2,10000,5,5,1924.153864
2,10000,6,4,1287.694386
2,10000,7,3,1677.421449
2,10000,8,2,1882.319691
2,10000,9,1,1664.042971
3,10000,1,9,1609.405889
3,10000,2,8,1479.317865
3,10000,3,7,1299.240305
3,10000,4,6,1830.020464
3,10000,5,5,1582.931341
3,10000,6,4,1886.033241
3,10000,7,3,2036.32325
3,10000,8,2,1728.049254
3,10000,9,1,1753.293947
4,10000,1,9,1176.940205
4,10000,2,8,1432.474122
4,10000,3,7,1257.178988
4,10000,4,6,1747.356091
4,10000,5,5,1767.720568
4,10000,6,4,1825.242178
4,10000,7,3,1670.742959
4,10000,8,2,1754.166628
4,10000,9,1,2016.845762
5,10000,1,9,1281.876061
5,10000,2,8,1479.402241
5,10000,3,7,1636.305564
5,10000,4,6,1794.98519
5,10000,5,5,1575.287868
5,10000,6,4,1713.239741
5,10000,7,3,1631.662709
5,10000,8,2,1771.278123
5,10000,9,1,1781.058711
6,10000,1,9,642.841509
6,10000,2,8,480.798658
6,10000,3,7,1314.872833
6,10000,4,6,1643.353909
6,10000,5,5,1922.199329
6,10000,6,4,1936.124345
6,10000,7,3,1747.69478
6,10000,8,2,1755.614867
6,10000,9,1,1650.388332
7,10000,1,9,1291.55067
7,10000,2,8,1126.587518
7,10000,3,7,1265.356714
7,10000,4,6,1333.881936
7,10000,5,5,1753.485621
7,10000,6,4,1798.374039
7,10000,7,3,1974.279932
7,10000,8,2,1315.870256
7,10000,9,1,1765.82323
8,10000,1,9,1611.119271
8,10000,2,8,566.508018
8,10000,3,7,1653.869415
8,10000,4,6,1536.788573
8,10000,5,5,1660.26268
8,10000,6,4,1715.225614
8,10000,7,3,1699.402224
8,10000,8,2,1887.840842
8,10000,9,1,1896.003548
9,10000,1,9,1318.887673
9,10000,2,8,1668.157918
9,10000,3,7,1317.675888
9,10000,4,6,1794.856934
9,10000,5,5,1401.844038
9,10000,6,4,1700.821013
9,10000,7,3,1949.451584
9,10000,8,2,1673.71464
9,10000,9,1,1825.567196
10,10000,1,9,1580.753016
10,10000,2,8,1514.904261
10,10000,3,7,1334.658569
10,10000,4,6,1631.626168
10,10000,5,5,1506.267757
10,10000,6,4,2004.67974
10,10000,7,3,1794.058611
10,10000,8,2,1194.539236
10,10000,9,1,1701.400616
11,10000,1,9,505.355057
11,10000,2,8,1083.922968
11,10000,3,7,1340.969111
11,10000,4,6,1016.524676
11,10000,5,5,1600.375089
11,10000,6,4,1646.368501
11,10000,7,3,1838.331245
11,10000,8,2,1756.980724
11,10000,9,1,1830.392078
12,10000,1,9,1258.678178
12,10000,2,8,973.394921
12,10000,3,7,1439.96593
12,10000,4,6,1377.159888
12,10000,5,5,1629.07614
12,10000,6,4,1646.000562
12,10000,7,3,1789.278692
12,10000,8,2,1706.624003
12,10000,9,1,1726.293873
13,10000,1,9,1305.567631
13,10000,2,8,1631.763067
13,10000,3,7,972.739616
13,10000,4,6,1451.961888
13,10000,5,5,1624.597924
13,10000,6,4,1682.794861
13,10000,7,3,1793.770849
13,10000,8,2,1681.390967
13,10000,9,1,1925.097237
14,10000,1,9,1238.323066
14,10000,2,8,1756.656082
14,10000,3,7,1196.159885
14,10000,4,6,1731.636296
14,10000,5,5,1572.275643
14,10000,6,4,1870.217104
14,10000,7,3,1637.027631
14,10000,8,2,1855.001355
14,10000,9,1,1887.070068
15,10000,1,9,1349.270436
15,10000,2,8,1209.484877
15,10000,3,7,1058.199039
15,10000,4,6,1655.078774
15,10000,5,5,1341.421883
15,10000,6,4,2094.094886
15,10000,7,3,1751.473607
15,10000,8,2,1781.790931
15,10000,9,1,1916.568887
16,10000,1,9,1455.159352
16,10000,2,8,1468.94026
16,10000,3,7,1579.683919
16,10000,4,6,1500.661046
16,10000,5,5,1637.251941
16,10000,6,4,1619.220325
16,10000,7,3,1220.880831
16,10000,8,2,1829.433121
16,10000,9,1,1698.243541
17,10000,1,9,1351.732893
17,10000,2,8,1635.615406
17,10000,3,7,1400.448142
17,10000,4,6,1626.935736
17,10000,5,5,1526.633564
17,10000,6,4,1669.042833
17,10000,7,3,2050.062724
17,10000,8,2,1685.158745
17,10000,9,1,1790.763046
18,10000,1,9,1576.447521
18,10000,2,8,1485.00571
18,10000,3,7,1235.919146
18,10000,4,6,1682.257458
18,10000,5,5,1577.463265
18,10000,6,4,1808.585262
18,10000,7,3,1565.696741
18,10000,8,2,1305.148784
18,10000,9,1,2007.828103
19,10000,1,9,1460.846564
19,10000,2,8,1266.642835
19,10000,3,7,1522.250294
19,10000,4,6,1450.205441
19,10000,5,5,374.322631
19,10000,6,4,1636.513248
19,10000,7,3,1774.311554
19,10000,8,2,1842.391211
19,10000,9,1,1726.420992
20,10000,1,9,1267.152089
20,10000,2,8,1268.174355
20,10000,3,7,1394.267422
20,10000,4,6,1689.880241
20,10000,5,5,1721.191997
20,10000,6,4,1720.759556
20,10000,7,3,1717.66976
20,10000,8,2,1794.805117
20,10000,9,1,1908.218774
21,10000,1,9,1455.647129
21,10000,2,8,1237.156972
21,10000,3,7,1381.287357
21,10000,4,6,1508.570311
21,10000,5,5,1579.069249
21,10000,6,4,1601.355809
21,10000,7,3,1690.118904
21,10000,8,2,1942.203199
21,10000,9,1,1692.638501
22,10000,1,9,393.361177
22,10000,2,8,1367.395983
22,10000,3,7,1511.999715
22,10000,4,6,957.859628
22,10000,5,5,977.921012
22,10000,6,4,1674.52806
22,10000,7,3,1710.454059
22,10000,8,2,1586.198429
22,10000,9,1,1926.3293
23,10000,1,9,287.132818
23,10000,2,8,1241.178493
23,10000,3,7,1112.288751
23,10000,4,6,1826.265406
23,10000,5,5,1885.82007
23,10000,6,4,1755.362977
23,10000,7,3,1931.174654
23,10000,8,2,1912.589443
23,10000,9,1,1719.800892
24,10000,1,9,1552.227826
24,10000,2,8,1372.293813
24,10000,3,7,1253.475396
24,10000,4,6,1572.913895
24,10000,5,5,1964.271222
24,10000,6,4,682.5453
24,10000,7,3,1849.199369
24,10000,8,2,1735.983974
24,10000,9,1,1802.003901
25,10000,1,9,951.559235
25,10000,2,8,1486.055792
25,10000,3,7,1285.563202
25,10000,4,6,1832.97269
25,10000,5,5,1712.293404
25,10000,6,4,1700.011827
25,10000,7,3,1917.853396
25,10000,8,2,1754.616754
25,10000,9,1,1891.829663
26,10000,1,9,1277.995053
26,10000,2,8,1499.658507
26,10000,3,7,1209.958554
26,10000,4,6,1619.821963
26,10000,5,5,1688.980904
26,10000,6,4,1804.03072
26,10000,7,3,1878.564943
26,10000,8,2,1949.708872
26,10000,9,1,1720.116212
27,10000,1,9,1477.360014
27,10000,2,8,765.165281
27,10000,3,7,1444.611747
27,10000,4,6,1900.340652
27,10000,5,5,1658.54992
27,10000,6,4,1799.166434
27,10000,7,3,2169.609859
27,10000,8,2,1824.614348
27,10000,9,1,1024.862335
28,10000,1,9,1286.244447
28,10000,2,8,1206.868333
28,10000,3,7,1154.936366
28,10000,4,6,1706.356862
28,10000,5,5,1733.229019
28,10000,6,4,2062.782753
28,10000,7,3,1648.976103
28,10000,8,2,2098.106762
28,10000,9,1,1670.838493
29,10000,1,9,1479.106501
29,10000,2,8,1210.686901
29,10000,3,7,1344.287743
29,10000,4,6,1398.864607
29,10000,5,5,1555.413357
29,10000,6,4,2050.53842
29,10000,7,3,2005.336126
29,10000,8,2,1739.307584
29,10000,9,1,1688.777827
30,10000,1,9,1302.312916
30,10000,2,8,1354.697184
30,10000,3,7,1249.268238
30,10000,4,6,1380.898586
30,10000,5,5,1731.946662
30,10000,6,4,1765.582873
30,10000,7,3,1847.232119
30,10000,8,2,1780.338045
30,10000,9,1,2169.188372
31,10000,1,9,1444.05903
31,10000,2,8,1599.849825
31,10000,3,7,1591.59752
31,10000,4,6,1454.572366
31,10000,5,5,1753.826775
31,10000,6,4,1725.515703
31,10000,7,3,1778.645574
31,10000,8,2,1876.256105
31,10000,9,1,1664.738673
32,10000,1,9,1499.488095
32,10000,2,8,1102.52442
32,10000,3,7,1784.09612
32,10000,4,6,352.284232
32,10000,5,5,1771.81908
32,10000,6,4,1690.074455
32,10000,7,3,1826.138698
32,10000,8,2,1732.479722
32,10000,9,1,1773.595176
33,10000,1,9,1048.83967
33,10000,2,8,1500.830302
33,10000,3,7,1366.221289
33,10000,4,6,2031.86992
33,10000,5,5,1557.01532
33,10000,6,4,1839.642387
33,10000,7,3,1714.039764
33,10000,8,2,1679.528034
33,10000,9,1,1663.659126
34,10000,1,9,1515.200807
34,10000,2,8,1114.65517
34,10000,3,7,1828.797301
34,10000,4,6,1510.267884
34,10000,5,5,1903.782915
34,10000,6,4,1638.02177
34,10000,7,3,1868.799762
34,10000,8,2,1940.570106
34,10000,9,1,1650.994957
35,10000,1,9,1534.545682
35,10000,2,8,1127.549149
35,10000,3,7,1533.143589
35,10000,4,6,1487.822416
35,10000,5,5,1579.357823
35,10000,6,4,1661.87069
35,10000,7,3,1866.93821
35,10000,8,2,1690.931717
35,10000,9,1,1897.872859
36,10000,1,9,1288.996723
36,10000,2,8,1572.18801
36,10000,3,7,1419.435797
36,10000,4,6,1611.022905
36,10000,5,5,1424.029654
36,10000,6,4,1937.582653
36,10000,7,3,1669.774647
36,10000,8,2,1908.497017
36,10000,9,1,1686.087766
37,10000,1,9,1627.212735
37,10000,2,8,1386.326157
37,10000,3,7,1223.522592
37,10000,4,6,1556.790867
37,10000,5,5,1938.566813
37,10000,6,4,1741.60335
37,10000,7,3,1795.729109
37,10000,8,2,1743.487414
37,10000,9,1,1942.052897
38,10000,1,9,1381.515267
38,10000,2,8,1524.85853
38,10000,3,7,1254.703671
38,10000,4,6,1682.446237
38,10000,5,5,1490.939256
38,10000,6,4,1612.095802
38,10000,7,3,1872.3116
38,10000,8,2,1802.005918
38,10000,9,1,1649.822741
39,10000,1,9,1131.464773
39,10000,2,8,1180.665681
39,10000,3,7,1377.298544
39,10000,4,6,1169.611839
39,10000,5,5,1962.957362
39,10000,6,4,1771.874312
39,10000,7,3,1911.3718
39,10000,8,2,1634.322961
39,10000,9,1,1878.716544
40,10000,1,9,1413.588452
40,10000,2,8,1491.366888
40,10000,3,7,1477.056009
40,10000,4,6,1804.134299
40,10000,5,5,1623.555778
40,10000,6,4,1912.621326
40,10000,7,3,1762.299307
40,10000,8,2,1796.957278
40,10000,9,1,1728.993861
41,10000,1,9,1467.457643
41,10000,2,8,1269.405923
41,10000,3,7,1528.504545
41,10000,4,6,1258.645395
41,10000,5,5,1591.339518
41,10000,6,4,1703.580014
41,10000,7,3,1964.745876
41,10000,8,2,1803.723417
41,10000,9,1,1780.898243
42,10000,1,9,1373.404876
42,10000,2,8,1483.248514
42,10000,3,7,1380.360714
42,10000,4,6,1675.982372
42,10000,5,5,1272.295389
42,10000,6,4,1964.951373
42,10000,7,3,1600.49436
42,10000,8,2,1831.282602
42,10000,9,1,1818.849296
43,10000,1,9,1250.306834
43,10000,2,8,1565.278516
43,10000,3,7,1555.510706
43,10000,4,6,1803.712107
43,10000,5,5,1592.351432
43,10000,6,4,1796.566033
43,10000,7,3,1705.413785
43,10000,8,2,1684.527184
43,10000,9,1,1652.376182
44,10000,1,9,1217.713939
44,10000,2,8,1329.889593
44,10000,3,7,1790.868561
44,10000,4,6,1467.851988
44,10000,5,5,1711.673485
44,10000,6,4,1938.880825
44,10000,7,3,1721.943418
44,10000,8,2,1820.038697
44,10000,9,1,1731.174849
45,10000,1,9,742.638786
45,10000,2,8,1443.751845
45,10000,3,7,1029.474568
45,10000,4,6,1621.379671
45,10000,5,5,1656.98753
45,10000,6,4,1614.086722
45,10000,7,3,1883.426121
45,10000,8,2,1722.140979
45,10000,9,1,1752.851369
46,10000,1,9,1420.210681
46,10000,2,8,1567.587477
46,10000,3,7,1282.796277
46,10000,4,6,1499.412257
46,10000,5,5,1786.399914
46,10000,6,4,1491.458397
46,10000,7,3,1675.486902
46,10000,8,2,2016.561615
46,10000,9,1,1750.806274
47,10000,1,9,1387.334317
47,10000,2,8,1319.059047
47,10000,3,7,1583.728161
47,10000,4,6,1632.063561
47,10000,5,5,1704.238304
47,10000,6,4,1653.868829
47,10000,7,3,1874.357248
47,10000,8,2,1806.210398
47,10000,9,1,1666.409897
48,10000,1,9,1427.538911
48,10000,2,8,1460.179882
48,10000,3,7,1270.491082
48,10000,4,6,1720.992226
48,10000,5,5,1580.825991
48,10000,6,4,1897.355887
48,10000,7,3,1730.67139
48,10000,8,2,1758.626765
48,10000,9,1,1738.855116
49,10000,1,9,1262.705295
49,10000,2,8,309.984258
49,10000,3,7,1509.737972
49,10000,4,6,1462.929443
49,10000,5,5,1686.937769
49,10000,6,4,1863.58783
49,10000,7,3,1621.631728
49,10000,8,2,1745.792237
49,10000,9,1,1755.652061
