Iteracion,OperacionesPorHilo,CantidadHilos,Time (ms)
0,10000,2,300.363017
0,10000,4,309.567855
0,10000,6,416.185304
0,10000,8,453.92065
0,10000,10,507.886874
1,10000,2,244.026335
1,10000,4,336.016394
1,10000,6,419.484087
1,10000,8,442.644828
1,10000,10,491.787128
2,10000,2,239.106066
2,10000,4,328.360421
2,10000,6,417.12947
2,10000,8,438.774126
2,10000,10,486.563829
3,10000,2,247.515713
3,10000,4,334.977241
3,10000,6,416.894808
3,10000,8,447.571639
3,10000,10,492.839341
4,10000,2,246.788322
4,10000,4,333.472418
4,10000,6,419.46147
4,10000,8,451.946496
4,10000,10,492.385822
5,10000,2,259.186841
5,10000,4,339.526567
5,10000,6,431.893653
5,10000,8,435.582999
5,10000,10,483.64113
6,10000,2,246.411624
6,10000,4,342.206618
6,10000,6,430.029455
6,10000,8,450.153135
6,10000,10,498.50217
7,10000,2,232.028068
7,10000,4,347.377737
7,10000,6,436.982904
7,10000,8,442.432257
7,10000,10,486.785147
8,10000,2,247.65814
8,10000,4,341.076475
8,10000,6,427.580287
8,10000,8,445.898267
8,10000,10,494.251946
9,10000,2,248.714452
9,10000,4,340.652065
9,10000,6,430.645932
9,10000,8,447.604722
9,10000,10,494.903086
10,10000,2,244.466565
10,10000,4,340.910985
10,10000,6,444.407119
10,10000,8,450.544552
10,10000,10,486.230359
11,10000,2,240.37327
11,10000,4,342.438531
11,10000,6,424.812072
11,10000,8,451.499666
11,10000,10,493.909342
12,10000,2,236.404005
12,10000,4,345.100184
12,10000,6,431.878872
12,10000,8,442.141463
12,10000,10,499.308265
13,10000,2,247.358498
13,10000,4,340.529829
13,10000,6,426.884899
13,10000,8,445.832453
13,10000,10,491.938153
14,10000,2,232.051937
14,10000,4,341.033411
14,10000,6,416.923153
14,10000,8,434.08969
14,10000,10,509.083957
15,10000,2,242.061717
15,10000,4,339.338476
15,10000,6,436.049026
15,10000,8,465.40339
15,10000,10,525.202513
16,10000,2,242.181337
16,10000,4,344.185347
16,10000,6,433.966091
16,10000,8,471.867309
16,10000,10,515.853543
17,10000,2,246.104412
17,10000,4,339.74335
17,10000,6,423.95924
17,10000,8,475.144205
17,10000,10,508.347053
18,10000,2,254.715964
18,10000,4,336.235869
18,10000,6,427.179861
18,10000,8,467.674564
18,10000,10,509.666227
19,10000,2,250.164077
19,10000,4,342.301967
19,10000,6,422.035623
19,10000,8,454.962291
19,10000,10,516.01114
20,10000,2,231.645798
20,10000,4,348.014756
20,10000,6,435.064253
20,10000,8,469.228768
20,10000,10,505.401224
21,10000,2,245.08317
21,10000,4,348.023795
21,10000,6,422.090878
21,10000,8,445.702622
21,10000,10,517.072244
22,10000,2,235.622822
22,10000,4,339.810383
22,10000,6,435.381553
22,10000,8,448.687941
22,10000,10,515.298908
23,10000,2,234.991868
23,10000,4,332.992139
23,10000,6,467.61625
23,10000,8,463.895323
23,10000,10,521.611659
24,10000,2,259.983465
24,10000,4,333.460811
24,10000,6,413.579585
24,10000,8,474.962681
24,10000,10,508.762004
25,10000,2,251.337542
25,10000,4,337.947533
25,10000,6,408.895945
25,10000,8,451.382049
25,10000,10,516.972406
26,10000,2,260.477794
26,10000,4,347.730853
26,10000,6,430.898239
26,10000,8,455.23493
26,10000,10,512.544362
27,10000,2,244.980953
27,10000,4,333.880032
27,10000,6,415.010832
27,10000,8,460.320489
27,10000,10,514.224945
28,10000,2,255.276661
28,10000,4,333.893598
28,10000,6,422.070674
28,10000,8,454.837506
28,10000,10,515.163473
29,10000,2,244.793727
29,10000,4,329.925063
29,10000,6,424.247817
29,10000,8,473.531037
29,10000,10,511.97761
30,10000,2,247.129417
30,10000,4,335.589731
30,10000,6,419.278824
30,10000,8,474.721051
30,10000,10,509.274679
31,10000,2,249.325488
31,10000,4,332.950948
31,10000,6,417.286989
31,10000,8,456.731217
31,10000,10,512.029717
32,10000,2,249.158572
32,10000,4,337.414851
32,10000,6,416.580544
32,10000,8,472.108964
32,10000,10,508.479193
33,10000,2,255.935133
33,10000,4,333.389673
33,10000,6,424.701699
33,10000,8,465.182311
33,10000,10,515.273457
34,10000,2,247.199241
34,10000,4,326.586078
34,10000,6,430.225508
34,10000,8,455.046034
34,10000,10,514.151122
35,10000,2,241.269731
35,10000,4,356.375453
35,10000,6,424.938533
35,10000,8,454.085314
35,10000,10,510.15734
36,10000,2,236.969919
36,10000,4,345.646515
36,10000,6,418.335817
36,10000,8,455.169976
36,10000,10,512.219584
37,10000,2,246.054981
37,10000,4,341.057383
37,10000,6,425.867408
37,10000,8,457.958077
37,10000,10,522.245863
38,10000,2,249.414977
38,10000,4,342.375733
38,10000,6,424.71578
38,10000,8,450.980634
38,10000,10,518.047822
39,10000,2,252.998936
39,10000,4,338.83834
39,10000,6,433.945299
39,10000,8,462.780473
39,10000,10,514.921808
40,10000,2,245.755223
40,10000,4,335.844326
40,10000,6,424.546193
40,10000,8,464.960303
40,10000,10,519.21438
41,10000,2,239.22178
41,10000,4,344.330247
41,10000,6,432.182129
41,10000,8,451.921966
41,10000,10,519.252199
42,10000,2,247.308527
42,10000,4,350.504791
42,10000,6,426.025806
42,10000,8,467.953389
42,10000,10,511.678861
43,10000,2,248.213008
43,10000,4,332.335841
43,10000,6,432.170833
43,10000,8,463.475899
43,10000,10,519.517586
44,10000,2,251.137866
44,10000,4,340.104585
44,10000,6,431.068271
44,10000,8,453.349869
44,10000,10,502.039339
45,10000,2,253.503455
45,10000,4,344.342901
45,10000,6,429.305599
45,10000,8,463.804669
45,10000,10,514.077835
46,10000,2,248.153887
46,10000,4,345.763218
46,10000,6,421.051386
46,10000,8,461.193379
46,10000,10,507.545859
47,10000,2,244.524177
47,10000,4,341.979117
47,10000,6,426.914885
47,10000,8,464.677708
47,10000,10,509.166952
48,10000,2,255.983336
48,10000,4,346.070596
48,10000,6,417.845277
48,10000,8,466.88065
48,10000,10,519.886745
49,10000,2,247.397261
49,10000,4,329.966986
49,10000,6,424.690041
49,10000,8,474.238392
49,10000,10,514.644926
